City,Date,Time,Anomaly_Upload_Download_Ratio,Consistency_External_Connections,DNS_Response_Time,Change_Traffic_Type,Latency_Variability,Response_Service_Disruptions,Changes_Network_Topology,Throttling_Traffic_Management,End_Point_Issues,Network_Jitter,Historical_Data_Analysis,Server_Response_Time,Correlation_Third_Party_Services,Frequent_IP_Address_Changes,Unplanned_Maintenance,Comparative_Subnet_Performance,Connection_Drops_Handovers
Tehran,9/1/2023,12:00:00 AM,1.3,66,48,26,7,7,1,93,51,30.31,82,106,43,0,0,39,49
Tehran,9/1/2023,12:10:00 AM,1.1,96,12,15,44,23,1,57,44,23.26,19,289,94,0,0,61,21
Tehran,9/1/2023,12:20:00 AM,1.07,22,64,90,33,50,1,20,14,25.86,93,125,64,1,1,27,2
Tehran,9/1/2023,12:30:00 AM,1.14,33,116,66,9,19,0,16,19,13.79,22,284,31,1,1,83,1
Tehran,9/1/2023,12:40:00 AM,0.64,78,137,82,32,69,1,93,13,3.63,94,251,33,0,1,55,57
Tehran,9/1/2023,12:50:00 AM,1.09,71,64,76,49,38,1,25,22,13.84,6,86,29,0,1,13,44
Tehran,9/1/2023,1:00:00 AM,0.87,40,184,56,14,78,0,1,0,27.31,85,161,24,1,1,67,44
Tehran,9/1/2023,1:10:00 AM,1.2,15,28,15,5,93,0,48,4,7.99,45,202,75,0,0,66,8
Tehran,9/1/2023,1:20:00 AM,0.54,21,86,89,41,46,0,66,34,39.87,61,73,62,1,1,4,27
Tehran,9/1/2023,1:30:00 AM,1.12,43,40,25,2,88,1,24,18,25.88,0,166,94,1,1,19,41
Tehran,9/1/2023,1:40:00 AM,1.48,59,146,92,33,74,1,23,54,41.63,81,32,53,0,0,10,36
Tehran,9/1/2023,1:50:00 AM,1.09,12,97,12,28,86,1,87,93,3.46,11,176,97,0,1,2,58
Tehran,9/1/2023,2:00:00 AM,0.59,66,31,74,29,72,0,45,74,7.36,46,222,41,1,0,100,37
Tehran,9/1/2023,2:10:00 AM,0.55,76,19,42,41,81,1,94,83,3.67,33,113,69,1,0,99,61
Tehran,9/1/2023,2:20:00 AM,1.37,56,127,81,48,94,1,30,44,7.72,38,173,75,0,1,31,90
Tehran,9/1/2023,2:30:00 AM,0.82,96,18,57,29,3,0,23,96,38.08,35,174,83,1,1,39,96
Tehran,9/1/2023,2:40:00 AM,0.76,78,97,64,32,32,1,87,98,25.49,84,87,83,0,0,94,51
Tehran,9/1/2023,2:50:00 AM,1.02,97,192,2,22,33,0,1,54,18.03,91,172,77,1,1,42,36
Tehran,9/1/2023,3:00:00 AM,1.23,85,176,14,9,28,1,76,53,2.86,11,89,13,0,0,52,29
